Id,recommendations
111974,"[100988, 85942, 94412, 105045]"
110343,"[105664, 110193, 111156, 111052, 114053]"
111462,"[92891, 95697, 111150, 93688, 95550]"
112152,"[93811, 123012, 99573, 97267, 99607]"
105488,"[105664, 110193, 111156, 111052, 114053]"
94423,"[94795, 92586, 92588, 92602, 98584]"
103783,"[84896, 96734, 111625, 107363, 98308]"
112390,"[102878, 94951, 103505, 106451]"
105904,"[113473, 104022, 102477, 98830, 93781]"
106108,"[95485, 99851, 103759, 112119, 97609]"
106126,"[106925, 102655, 126506, 97645]"
107625,"[105664, 110193, 111156, 111052, 114053]"
113457,"[107451, 104279, 29422, 101352]"
89499,"[103711, 83050, 104229, 99385, 81292]"
105305,"[118177, 111086, 97428, 215647]"
197530,"[105664, 110193, 111156, 111052, 114053]"
106761,"[91557, 86423, 93653, 112945, 105214]"
105555,"[103425, 94413, 109958, 100762, 103445]"
121613,"[124331, 98101, 112148, 100975]"
112119,"[97766, 95485, 94795, 94423, 92586]"
114185,"[96161, 106465, 112538, 96462, 102596]"
96556,"[93890, 95909, 93875, 96660]"
106359,"[105664, 110193, 111156, 111052, 114053]"
101735,"[225174, 106978, 114365, 111597, 95791]"
94388,"[105473, 91848, 94498, 98823, 93149]"
107442,"[97609, 97766, 98793, 87784, 158085]"
110186,"[103840, 111771, 108305, 111726, 107671]"
114992,"[114365, 108173, 106978, 95791, 226413]"
99607,"[123012, 99573, 97267, 112152]"
95909,"[93890, 93875, 96660, 96556]"
112111,"[100120, 215647, 111495, 97062, 111647]"
106590,"[90259, 103849, 93784, 94305]"
102285,"[93593, 99910, 93688, 103445]"
96161,"[106465, 112538, 96462, 102596]"
112440,"[105664, 110193, 111156, 111052, 114053]"
105646,"[113473, 104022, 102477, 98830, 93781]"
113372,"[118177, 111086, 97428, 215647, 105305]"
102432,"[117682, 94199, 98748, 94541]"
109819,"[104201, 108280, 117638, 107128, 102085]"
112148,"[100975, 98101, 111834, 121613]"
113647,"[103840, 111771, 108305, 111726, 107671]"
111762,"[113473, 104022, 102477, 98830, 93781]"
114893,"[100595, 98492, 101243, 99581, 110862]"
125495,"[113473, 104022, 102477, 98830, 93781]"
112706,"[88110, 112489, 105775, 107233, 114604]"
107888,"[100918, 97543, 105034, 124747]"
105883,"[113473, 104022, 102477, 98830, 93781]"
105644,"[79680, 236035, 111111, 97266, 139221]"
110119,"[105664, 110193, 111156, 111052, 114053]"
105849,"[100043, 85942, 97766, 96203, 100436]"
110193,"[105664, 111156, 111052, 114053]"
104735,"[108824, 114604, 110032, 105029, 102368]"
106465,"[96161, 112538, 96462, 102596]"
111501,"[105144, 113450, 103035, 102261, 97733]"
104148,"[98730, 114763, 114046, 97401, 111586]"
106173,"[107304, 105282, 92824, 101243, 115947]"
107851,"[103425, 94413, 109958, 100762, 103445]"
106496,"[102343, 103035, 98033, 102261, 113450]"
114763,"[98730, 114046, 97401, 111586]"
106514,"[105664, 110193, 111156, 111052, 114053]"
113450,"[105144, 103035, 102261, 97733]"
112322,"[115110, 113710, 113240, 111737]"
107543,"[108303, 110818, 106754, 106195]"
110225,"[111815, 101999, 105881, 112514]"
107011,"[115555, 106526, 105203, 105125]"
108154,"[105664, 110193, 111156, 111052, 114053]"
106513,"[118177, 111086, 97428, 215647, 105305]"
107257,"[99778, 99779, 105797, 106138]"
105031,"[99517, 101531, 105041, 109616]"
112917,"[101680, 112671, 99620, 106005]"
114684,"[105664, 110193, 111156, 111052, 114053]"
112869,"[105144, 113450, 103035, 102261, 97733]"
106526,"[107011, 115555, 105203, 105125]"
110862,"[113473, 104022, 102477, 98830, 93781]"
112278,"[100120, 215647, 118177, 103506, 97062]"
114635,"[113888, 117180, 97890, 99969, 110558]"
112538,"[96161, 106465, 96462, 102596]"
113709,"[107451, 104279, 29422, 113457, 101352]"
106525,"[103840, 111771, 108305, 111726, 107671]"
111586,"[98730, 114763, 114046, 97401]"
118108,"[103840, 111771, 108305, 111726, 107671]"
107634,"[105664, 110193, 111156, 111052, 114053]"
113415,"[105664, 110193, 111156, 111052, 114053]"
112514,"[111815, 101999, 105881, 110225]"
113606,"[111119, 110430, 96213, 103465]"
107363,"[84896, 96734, 111625, 98308]"
112966,"[99610, 96102, 114395, 100897, 104877]"
112568,"[99654, 99491, 97219, 94904, 112966]"
105775,"[112489, 88110, 103511, 80336, 100333]"
207040,"[105664, 110193, 111156, 111052, 114053]"
110412,"[105664, 110193, 111156, 111052, 114053]"
105203,"[107011, 115555, 106526, 105125]"
108351,"[113473, 104022, 102477, 98830, 93781]"
112311,"[113473, 104022, 102477, 98830, 93781]"
109436,"[102887, 103538, 139635, 109895, 208846]"
111726,"[103840, 111771, 108305, 107671]"
94199,"[102432, 117682, 98748, 94541]"
109293,"[107011, 115555, 106526, 105203, 105125]"
110430,"[111119, 113606, 96213, 103465]"
105473,"[91848, 94498, 98823, 93149]"
106872,"[102843, 101020, 105218, 208846, 109895]"
93831,"[96005, 92137, 104555, 102970, 99119]"
95073,"[114590, 93822, 91585, 95213, 106691]"
107333,"[101680, 112917, 112671, 99620, 106005]"
111150,"[113828, 85964, 111462, 104022]"
108305,"[103840, 111771, 111726, 107671]"
106530,"[99064, 112083, 112278, 105144, 100429]"
107671,"[103840, 111771, 108305, 111726]"
113886,"[88110, 112489, 105775, 108824, 109605]"
111815,"[101999, 105881, 112514, 110225]"
105892,"[113473, 104022, 102477, 98830, 93781]"
109895,"[101020, 99609, 234423, 208846, 139635]"
213515,"[103840, 111771, 108305, 111726, 107671]"
104246,"[108284, 108285, 99048, 104669, 97948]"
111292,"[96161, 106465, 112538, 96462, 102596]"
123012,"[99573, 97267, 99607, 112152]"
107233,"[102192, 86769, 119392, 109958, 96608]"
111052,"[105664, 110193, 111156, 114053]"
111156,"[105664, 110193, 111052, 114053]"
107451,"[104279, 29422, 113457, 101352]"
139221,"[97266, 127181, 104752, 112148]"
106984,"[105664, 110193, 111156, 111052, 114053]"
111858,"[103840, 111771, 108305, 111726, 107671]"
110032,"[112164, 109605, 102368, 105029]"
106005,"[101680, 112917, 112671, 99620]"
115947,"[105664, 110193, 111156, 111052, 114053]"
113473,"[104022, 102477, 98830, 93781]"
111086,"[118177, 97428, 215647, 105305]"
105304,"[107011, 115555, 106526, 105203, 105125]"
114604,"[112164, 109605, 110032, 102368, 105029]"
108824,"[112164, 109605, 110032, 102368, 105029]"
105741,"[113473, 104022, 102477, 98830, 93781]"
105282,"[106173, 100153, 110412, 114003, 106871]"
135110,"[103840, 111771, 108305, 111726, 107671]"
111928,"[107011, 115555, 106526, 105203, 105125]"
111534,"[113473, 104022, 102477, 98830, 93781]"
111118,"[103840, 111771, 108305, 111726, 107671]"
205110,"[110825, 241134, 105488, 111052, 100429]"
109786,"[91024, 91343, 94412, 95433, 95317]"
112671,"[101680, 112917, 99620, 106005]"
108488,"[108491, 110104, 115457, 104521]"
111603,"[111368, 100717, 104972, 111737, 97180]"
110749,"[103840, 111771, 108305, 111726, 107671]"
104308,"[96608, 112111, 87784, 99494, 111761]"
114454,"[103538, 106486, 101255, 106451]"
114820,"[99698, 98028, 99150, 130860, 118856]"
105844,"[112951, 115555, 105304, 105161, 102246]"
111074,"[99698, 98028, 99150, 130860, 118856]"
111401,"[103840, 111771, 108305, 111726, 107671]"
110607,"[105664, 110193, 111156, 111052, 114053]"
110598,"[103840, 111771, 108305, 111726, 107671]"
106451,"[102878, 98177, 112390, 103966]"
